City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
285,harnosand,62.6323,17.9379,272.15,68,1,2.82,SE,1728675415
286,pyhajarvi,67.0701,27.2176,277.89,87,100,4.58,FI,1728675417
287,sidi khaled,34.387,4.9879,300.23,34,67,3.32,DZ,1728675418
288,taltal,-25.4,-70.4833,291.89,68,28,2.83,CL,1728675419
289,beinamar,8.6698,15.3813,298.22,79,27,0.57,TD,1728675420
290,yorkton,51.2167,-102.4677,286.06,44,0,2.06,CA,1728675422
291,cuyo,10.8525,121.0086,301.85,77,99,4.24,PH,1728675423
292,coruripe,-10.1256,-36.1756,298.33,70,52,4.74,BR,1728675425
293,wellington,-41.2866,174.7756,283.96,81,17,5.14,NZ,1728675415
294,north bend,43.4065,-124.2243,291.63,69,100,2.53,US,1728675427
295,jamestown,42.097,-79.2353,293.72,40,0,6.17,US,1728675429
296,upata,8.0086,-62.3989,304.12,51,83,3.87,VE,1728675432
297,kapshagay,43.8833,77.0833,285.6,81,100,2.62,KZ,1728675434
298,sona,45.4388,10.8255,286.4,83,20,2.57,IT,1728675435
299,gerash,27.6652,54.1371,299.23,29,0,1.93,IR,1728675436
300,kavaratti,10.5669,72.642,299.35,87,100,7.48,IN,1728675437
301,maamba,-17.3667,27.15,294.87,26,0,1.46,ZM,1728675438
302,erenhot,43.6475,111.9767,284.03,53,0,1.53,CN,1728675440
303,dudinka,69.4058,86.1778,265.01,96,100,1.1,RU,1728675441
304,yalvac,38.2956,31.1778,290.44,59,23,0.49,TR,1728675442
305,zbarazh,49.6636,25.7762,283.31,83,100,5.79,UA,1728675444
306,runing,33.0011,114.3542,292.54,57,97,2.78,CN,1728675445
307,tai'an,36.1853,117.12,288.45,42,100,1.62,CN,1728675446
308,saudarkrokur,65.7461,-19.6394,271.52,74,93,1.75,IS,1728675448
309,copiapo,-27.3667,-70.3333,299.99,26,2,4.96,CL,1728675184
310,christchurch,-43.5333,172.6333,281.43,93,9,2.07,NZ,1728675451
311,tarko-sale,64.9225,77.785,269.18,92,100,3.62,RU,1728675452
312,yuzhno-kurilsk,44.0306,145.8556,283.55,68,32,7.73,RU,1728675454
313,sittwe,20.15,92.9,299.56,84,12,2.99,MM,1728675455
314,miles city,46.4083,-105.8406,292.69,30,0,8.23,US,1728675457
315,hasaki,35.7333,140.8333,293.83,70,1,3.37,JP,1728675458
316,katsuura,35.1333,140.3,293.52,75,6,3.71,JP,1728675459
317,caleta de carquin,-11.0925,-77.6267,292.78,76,20,4.08,PE,1728675461
318,luderitz,-26.6481,15.1594,289.37,71,0,4.64,NA,1728675462
319,yanbu,24.0891,38.0637,302.17,74,0,3.09,SA,1728675463
320,happy valley-goose bay,53.3168,-60.3315,278.32,93,100,3.6,CA,1728675465
